Realized & Unrealized Performance Summary,Data,Stocks,2800,0,0,0,0,0,0,11679.1194,0,0,0,11679.1194,11679.1194,
Realized & Unrealized Performance Summary,Data,Stocks,2828,0,0,0,0,0,0,66270.40601,-124.1392034,0,0,66146.2668,66146.2668,
Realized & Unrealized Performance Summary,Data,Stocks,2899,0,0,0,0,0,0,105539.8307,-399.5261486,0,0,105140.3045,105140.3045,
Realized & Unrealized Performance Summary,Data,Stocks,3067,0,0,0,0,0,0,38375.311,-1795.102252,0,0,36580.20875,36580.20875,
Realized & Unrealized Performance Summary,Data,Stocks,388,0,0,0,0,0,0,13794.84122,-12424.21398,0,0,1370.62724,1370.62724,
Realized & Unrealized Performance Summary,Data,Stocks,3888,0,0,0,0,0,0,0,-58424.85395,0,0,-58424.85395,-58424.85395,
Realized & Unrealized Performance Summary,Data,Stocks,3988,0,0,0,0,0,0,10843.5126,-31523.77936,0,0,-20680.26676,-20680.26676,
Realized & Unrealized Performance Summary,Data,Stocks,700,0,0,0,0,0,0,153946.5895,-447.2942521,0,0,153499.2952,153499.2952,
Realized & Unrealized Performance Summary,Data,Stocks,762,0,0,0,0,0,0,42632.01196,-6505.189606,0,0,36126.82235,36126.82235,
Realized & Unrealized Performance Summary,Data,Stocks,857,0,0,0,0,0,0,14000.66456,-5054.668513,0,0,8945.996047,8945.996047,
Realized & Unrealized Performance Summary,Data,Stocks,883,0,0,0,0,0,0,1521.555714,-5727.664418,0,0,-4206.108703,-4206.108703,
Realized & Unrealized Performance Summary,Data,Stocks,9633,0,0,0,0,0,0,0,-4467.539702,0,0,-4467.539702,-4467.539702,
Realized & Unrealized Performance Summary,Data,Stocks,9961,0,0,0,0,0,0,2251.390477,-10212.21889,0,0,-7960.828415,-7960.828415,
Realized & Unrealized Performance Summary,Data,Stocks,A17U,0,0,0,0,0,0,26.44911943,-6435.255847,0,0,-6408.806728,-6408.806728,
Realized & Unrealized Performance Summary,Data,Stocks,AAPL,0,0,0,0,0,0,727.933147,0,0,0,727.933147,727.933147,
Realized & Unrealized Performance Summary,Data,Stocks,AMD,0,0,0,0,0,0,301115.1103,0,0,0,301115.1103,301115.1103,
Realized & Unrealized Performance Summary,Data,Stocks,APP,0,0,0,0,0,0,0,-103.973422,0,0,-103.973422,-103.973422,
Realized & Unrealized Performance Summary,Data,Stocks,AVAV,0,0,0,0,0,0,10413.46151,0,0,0,10413.46151,10413.46151,
Realized & Unrealized Performance Summary,Data,Stocks,AVEM,0,0,0,0,0,0,12344.9839,0,0,0,12344.9839,12344.9839,
Realized & Unrealized Performance Summary,Data,Stocks,BABA,0,0,0,0,0,0,18091.15512,-2883.470791,0,0,15207.68432,15207.68432,
Realized & Unrealized Performance Summary,Data,Stocks,BN4,0,0,0,0,0,0,110686.2422,0,0,0,110686.2422,110686.2422,
Realized & Unrealized Performance Summary,Data,Stocks,BWXT,0,0,0,0,0,0,33411.21619,0,0,0,33411.21619,33411.21619,
Realized & Unrealized Performance Summary,Data,Stocks,C6L,0,0,0,0,0,0,0,-1131.359734,0,0,-1131.359734,-1131.359734,
Realized & Unrealized Performance Summary,Data,Stocks,CEG,0,0,0,0,0,0,92614.6403,0,0,0,92614.6403,92614.6403,
Realized & Unrealized Performance Summary,Data,Stocks,CME,0,0,0,0,0,0,34006.42363,0,0,0,34006.42363,34006.42363,
Realized & Unrealized Performance Summary,Data,Stocks,COIN,0,0,0,0,0,0,7745.766184,0,0,0,7745.766184,7745.766184,
Realized & Unrealized Performance Summary,Data,Stocks,CRCL,0,0,0,0,0,0,0,-50149.66905,0,0,-50149.66905,-50149.66905,
Realized & Unrealized Performance Summary,Data,Stocks,CRWD,0,0,0,0,0,0,0,-22900.06218,0,0,-22900.06218,-22900.06218,
Realized & Unrealized Performance Summary,Data,Stocks,CSCO,0,0,0,0,0,0,0,-6686.386077,0,0,-6686.386077,-6686.386077,
Realized & Unrealized Performance Summary,Data,Stocks,CTAS,0,0,0,0,0,0,9495.719462,0,0,0,9495.719462,9495.719462,
Realized & Unrealized Performance Summary,Data,Stocks,CVX,0,0,0,0,0,0,20120.09116,0,0,0,20120.09116,20120.09116,
Realized & Unrealized Performance Summary,Data,Stocks,D05,0,0,0,0,0,0,163333.0293,-16056.27791,0,0,147276.7514,147276.7514,
Realized & Unrealized Performance Summary,Data,Stocks,DAX,0,0,0,0,0,0,1533.225386,-912.528272,0,0,620.697114,620.697114,
Realized & Unrealized Performance Summary,Data,Stocks,DDOG,0,0,0,0,0,0,0,-659.51152,0,0,-659.51152,-659.51152,
Realized & Unrealized Performance Summary,Data,Stocks,DFDV,0,0,0,0,0,0,0,-12452.79548,0,0,-12452.79548,-12452.79548,
Realized & Unrealized Performance Summary,Data,Stocks,DG,0,0,0,0,0,0,15779.08138,-20136.34101,0,0,-4357.25963,-4357.25963,
Realized & Unrealized Performance Summary,Data,Stocks,EBND,0,0,0,0,0,0,15452.25728,0,0,0,15452.25728,15452.25728,
Realized & Unrealized Performance Summary,Data,Stocks,EFA,0,0,0,0,0,0,106.916243,-5414.311891,0,0,-5307.395648,-5307.395648,
Realized & Unrealized Performance Summary,Data,Stocks,EMR,0,0,0,0,0,0,27826.01584,0,0,0,27826.01584,27826.01584,
Realized & Unrealized Performance Summary,Data,Stocks,ETN,0,0,0,0,0,0,30805.81204,0,0,0,30805.81204,30805.81204,
Realized & Unrealized Performance Summary,Data,Stocks,EWW,0,0,0,0,0,0,0,-20990.39136,0,0,-20990.39136,-20990.39136,
