DATE,NAV (USD),CASH INJECTION,DAILY P&L,Daily Return,Weekly P&L,Weekly Return,MTD Change,MTD %,Cal,LTD ROR%,YTD Change,YTD ROR%,Annualised Return,Annualised Volatility,30 Days P&L,30 Days Return,90 Days P&L,90 Days Return,252 Days P&L,252 Days Return,Sharpe Ratio,Sortino Ratio,Value at Risk 95%(30days),Value at Risk 95%(90days),Value at Risk 95%(252days),Value at Risk 99%(252days),CAGR,Excess Return,Negative Excess Returns,Square of (Negative Excess Returns),Trailing 252D Sharpe,Trailing 252D Sortino,Trailing 252D Annualised Return,Trailing 252D Annualised Volatility
2022-11-17,33068433.52,0.0,-155369.76,-0.47,-464287.87,-1.38,151438.69,0.46,0.77,-23.33,-31520302.81,-48.8,-5.37,32.99,367883.01,1.13,-2838683.09,-7.91,-32786952.12,-49.79,-0.3,-0.39,-0.03,-0.03,-0.04,-0.06,-10.28,-0.49,-0.49,0.0,-1.8,-2.28,-61.96,0.37
2022-11-18,33098047.4,0.0,29613.88,0.09,-434673.99,-1.3,181052.57,0.55,0.77,-23.26,-31490688.93,-48.76,-5.33,32.96,1283211.99,4.03,-3683400.34,-10.01,-30715428.15,-48.13,-0.3,-0.39,-0.02,-0.03,-0.04,-0.06,-10.23,0.07,0.0,0.0,-1.72,-2.18,-58.77,0.37
2022-11-21,32709841.85,0.0,-388205.55,-1.17,-388205.55,-1.17,-207152.98,-0.63,0.76,-24.16,-31878894.48,-49.36,-5.79,32.94,1162134.18,3.68,-3714571.1,-10.2,-32335874.01,-49.71,-0.31,-0.41,-0.02,-0.03,-0.04,-0.06,-10.65,-1.19,-1.19,0.0,-1.81,-2.29,-61.87,0.37
2022-11-22,33198270.26,0.0,488428.41,1.49,100222.86,0.3,281275.43,0.85,0.77,-23.03,-31390466.07,-48.6,-5.18,32.93,1947491.64,6.23,-4615016.36,-12.2,-30134266.79,-47.58,-0.29,-0.39,-0.02,-0.03,-0.04,-0.06,-10.09,1.48,0.0,0.0,-1.69,-2.15,-57.74,0.37
2022-11-23,33527921.3,0.0,329651.04,0.99,429873.9,1.3,610926.47,1.86,0.78,-22.26,-31060815.03,-48.09,-4.77,32.91,2252726.65,7.2,-4889731.28,-12.73,-30287204.48,-47.46,-0.28,-0.37,-0.02,-0.03,-0.04,-0.06,-9.71,0.98,0.0,0.0,-1.69,-2.14,-57.51,0.37
2022-11-24,33681205.66,0.0,153284.36,0.46,583158.26,1.76,764210.83,2.32,0.78,-21.91,-30907530.67,-47.85,-4.57,32.88,1803434.01,5.66,-5540516.41,-14.13,-33217418.61,-49.65,-0.28,-0.36,-0.02,-0.03,-0.04,-0.06,-9.53,0.44,0.0,0.0,-1.82,-2.3,-61.89,0.36
2022-11-25,33472422.18,0.0,-208783.48,-0.62,374374.78,1.13,555427.35,1.69,0.78,-22.39,-31116314.15,-48.18,-4.82,32.86,2353995.19,7.56,-5290417.99,-13.65,-33372337.56,-49.93,-0.28,-0.37,-0.02,-0.03,-0.04,-0.06,-9.75,-0.64,-0.64,0.0,-1.84,-2.31,-62.43,0.36
2022-11-28,32887644.65,0.0,-584777.53,-1.75,-584777.53,-1.75,-29350.18,-0.09,0.76,-23.75,-31701091.68,-49.08,-5.51,32.85,1130930.19,3.56,-5693367.42,-14.76,-32183710.87,-49.46,-0.3,-0.4,-0.02,-0.03,-0.04,-0.06,-10.37,-1.76,-1.76,0.0,-1.82,-2.29,-61.52,0.36
2022-11-29,32705656.76,0.0,-181987.89,-0.55,-766765.42,-2.29,-211338.07,-0.64,0.76,-24.17,-31883079.57,-49.36,-5.73,32.83,737092.66,2.31,-5175230.89,-13.66,-33644074.74,-50.71,-0.31,-0.41,-0.02,-0.03,-0.04,-0.06,-10.56,-0.57,-0.57,0.0,-1.89,-2.38,-64.04,0.36
2022-11-30,34026786.07,0.0,1321129.31,4.04,554363.89,1.66,1109791.24,3.37,0.79,-21.11,-30561950.26,-47.32,-4.09,32.9,2031676.74,6.35,-6009664.83,-15.01,-30997401.4,-47.67,-0.26,-0.34,-0.02,-0.03,-0.04,-0.06,-9.1,4.02,0.0,0.0,-1.71,-2.17,-58.0,0.36
